PairID,Text,Score
ENG-train-0000,"जर असं झालं तर फक्त प्लग बंद करा.
जर असं कधी झालं तर फक्त प्लग बंद करा.",1.0
ENG-train-0001,"पाण्यातून धावणारा काळा कुत्रा.
काळा कुत्रा काही पाण्यातून पळत आहे.",1.0
ENG-train-0002,"मी तुमच्यासाठी संपूर्ण अभयारण्य शोधत होतो.
मी तुम्हाला सगळीकडे शोधत आहे.",1.0
ENG-train-0003,"जर तो सुंदर दिसत असेल आणि त्याचे व्यक्तिमत्व चांगले असेल, तर तो समलैंगिक असू शकतो - परंतु बहुधा बायसेक्सुअल आहे.
जर तो सुंदर दिसत असेल, आणि एक चांगला व्यक्तिमत्व असेल, तर तो हॅट असू शकतो, पण बहुधा बाय.",1.0
ENG-train-0004,"ती तुझ्यावर द्वेष करत नाही, ती फक्त तुझ्यावर रागावली आहे.
ती तुमचा द्वेष करत नाही, ती फक्त चिडली आहे.",1.0
ENG-train-0005,"अभिनेता गझारा वयाच्या ८१ व्या वर्षी मरण पावला
अभिनेता बेन गाझारा यांचे वयाच्या ८१ व्या वर्षी निधन झाले.",1.0
ENG-train-0006,"नाही, मला खरोखरच न्यू यॉर्क जिंकण्याची इच्छा नव्हती.
नाही, मला न्यू यॉर्क जिंकण्याची इच्छा नव्हती.",1.0
ENG-train-0007,"मला त्यांच्याशी काही अडचण नाही.
मला त्यांच्याशी काही अडचण नाही.",1.0
ENG-train-0008,"तुमच्या पालकांना तुमचा बॉयफ्रेंड आवडायचा नाही, तर तुम्हाला आवडतो.
तुमच्या आई-वडिलांनी तुमची बीएफ पसंत करण्याची गरज नाही, तुम्ही पसंत करता.",1.0
ENG-train-0009,"मला वाटते की टेलर खूप गोड आहे, पण मला त्याचा आवाज आवडत नाही.
मला वाटते की टेलर खूप गोड आहे. पण मला त्याचा आवाज आवडत नाही.",1.0
ENG-train-0010,"एक हलका तपकिरी कुत्रा आनंदाने मार्गावर धावतो.
एक पांढरा कुत्रा एका मार्गावर धावतो.",1.0
ENG-train-0011,"तुमच्या बॅगमध्ये चार वर्षाचा मुलगा.
तुमच्या खिशातल्या चार वर्षाच्या मुलाला",1.0
ENG-train-0012,"आपण नंतर शोधू शकता, की आपण परिपूर्ण एक गमावले आहे.
तुम्हाला नंतर कळेल की तुम्ही एक परिपूर्ण व्यक्ती गमावली आहे.",1.0
ENG-train-0013,"जर तिने सांगितले की तिला फक्त मैत्री करायची आहे, तर खूप उशीर झाला आहे.
जर ती म्हणाली की तिला फक्त मैत्री करायची आहे तर आधीच उशीर झाला आहे.",1.0
ENG-train-0014,"एक माणूस पॅनमध्ये तांदूळ घालत आहे.
एका माणसाने पॅनमध्ये रिक्-ए-रोनी ओतली.",1.0
ENG-train-0015,"मुलं विचित्र असू शकतात. मला माहित असले पाहिजे.
पुरुषांना विचित्र वाटू शकते. मला हे माहित असले पाहिजे.",1.0
ENG-train-0016,"एक तपकिरी कुत्रा उडी मारत आहे.
एक तपकिरी कुत्रा उडी मारत आहे",1.0
ENG-train-0017,"फ्रिट्झ लॅबँड हा एक जर्मन फुटबॉल खेळाडू होता.
फ्रिट्झ लॅबँड हा माजी जर्मन फुटबॉल खेळाडू आहे.",1.0
ENG-train-0018,"एका क्षणासाठीही या माणसावर विश्वास ठेवू नका.
एका क्षणासाठीही या माणसावर विश्वास ठेवू नका.",1.0
ENG-train-0019,"खास करून जर तुम्हाला तो खरोखरच आवडतो आणि तुम्हाला माहित असेल की तो लजाळू आहे.
खास करून जर तुम्हाला तो खरोखरच आवडला असेल आणि तुम्हाला माहित असेल की तो लजाळू आहे.",1.0
ENG-train-0020,"एक शेतकरी बाजारात एक माणूस.
एक माणूस शेतकरी बाजारात आहे.",1.0
ENG-train-0021,"२००० च्या जनगणनेनुसार लोकसंख्या ५१७ होती.
२००० पर्यंत लोकसंख्या ५१७ आहे.",1.0
ENG-train-0022,"गहन श्वास घ्या, हवेचा जास्तीत जास्त फायदा घ्या.
गहन श्वास घ्या, हवा आत येऊ द्या.",1.0
ENG-train-0023,"मी परत येण्यापूर्वी जर तुम्ही मला भेटाल तर कृपया मला थांबायला सांगा.
मी परत येण्यापूर्वी मला भेटायचं असेल तर कृपया मला थांबायला सांगा.",1.0
ENG-train-0024,"तू त्यांना अजून का सांगितलं नाहीस?
तू त्यांना अजून का सांगितलं नाहीस?",1.0
ENG-train-0025,"जेव्हा पाऊस पडतो तेव्हा मला अधिक आरामदायक वाटते.
जेव्हा पाऊस पडतो तेव्हा मी अधिक आरामदायक असतो.",1.0
ENG-train-0026,"रोमन लोकांमध्ये ग्लिरारियम नावाचा एक विशेष प्रकारचा आच्छादन होता ज्याचा उपयोग टेबलासाठी मागील झोपेसाठी केला जात होता.
रोमन लोकांची झोप ठेवण्यासाठी एक विशेष जागा होती ज्याला ग्लिरारियम म्हणतात.",0.97
ENG-train-0027,"ते लेओचं आहे आणि मला लेओ आवडत नाही.
..............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................",0.97
ENG-train-0028,"कारण पिट्सबर्ग सुंदर आहे आणि प्रत्येकाला तिथे राहायचं असतं.
कारण पिट्सबर्ग आश्चर्यकारक आहे आणि प्रत्येकजण तिथे राहण्याची इच्छा करतो!",0.97
ENG-train-0029,"जेव्हा मी पुन्हा प्रयत्न केला, तेव्हा मी गोंगल करू शकलो.
जेव्हा मी त्याकडे परत गेलो, तेव्हा मी गोंगल करू शकलो!",0.97
ENG-train-0030,"तुम्ही कधी ""रॉबिन हूड: प्रिन्स ऑफ चोर"" हा चित्रपट पाहिला आहे का?
'रॉबिन हूड, प्रिन्स ऑफ चोर' हा चित्रपट पाहिला आहे का?",0.97
ENG-train-0031,"मी गिलिगन्सच्या बाळाबद्दल विनोद करत होतो. वचन!
मी गिलिगॅन्टच्या बाळाबद्दल विनोद करत होतो.",0.97
ENG-train-0032,"दोन कुत्रे रेड फायर हाइड्रंटवर पेशाब करत आहेत.
दोन कुत्रे रेड फायर हाइड्रंटवर पेशाब करत आहेत.",0.97
