PairID,Text,Score
ENG-train-0000,"Si eso sucede, sólo quita el enchufe.
Si eso alguna vez sucede, sólo quita el enchufe.",1.0
ENG-train-0001,"Un perro negro corriendo por el agua.
Un perro negro está corriendo por el agua.",1.0
ENG-train-0002,"He estado buscando toda la abadía por ti.
Te estoy buscando por toda la abadía.",1.0
ENG-train-0003,"Si tiene buena apariencia y buena personalidad, es posible que sea heterosexual, pero es más probable que sea bisexual.
Si tiene buena apariencia y buena personalidad, puede ser heterosexual, pero es más probable que sea bi.",1.0
ENG-train-0004,"Ella no te odia, sólo está molesta contigo.
No te odia, sólo está molesta.",1.0
ENG-train-0005,"El actor Gazzara murió a los 81 años
El actor Ben Gazzara muere a los 81 años",1.0
ENG-train-0006,"No, realmente no quería que Nueva York ganara.
No quería que Nueva York ganara.",1.0
ENG-train-0007,"No tengo problemas con ellos.
Yo no tengo ningún problema con ellos.",1.0
ENG-train-0008,"Tus padres no tienen que gustarte a tu novio, tú sí.
A tus padres no les tiene que gustar tu BF, sí.",1.0
ENG-train-0009,"Creo que Taylor es realmente lindo, pero odio su voz.
Creo que Taylor es SUPER lindo... pero odio su voz.",1.0
ENG-train-0010,"Un perro marrón claro corre feliz por un camino.
Un perro pálido corre por un camino.",1.0
ENG-train-0011,"El de cuatro años en tu maletero.
El niño de 4 años en tu maletero",1.0
ENG-train-0012,"Tal vez descubras más tarde, que has perdido a la perfecta.
Tal vez descubras más tarde que has perdido a la perfecta.",1.0
ENG-train-0013,"Si ella mencionó que sólo quiere ser amiga, entonces es demasiado tarde.
Si ella ha dicho que sólo quiere ser amiga ya es demasiado tarde.",1.0
ENG-train-0014,"Un hombre está derramando arroz un roni en una sartén.
Un hombre vertió ric-a-roni en una sartén.",1.0
ENG-train-0015,"Los chicos pueden ser raros, debería saberlo.
Los chicos pueden ser extraños, debería saberlo.",1.0
ENG-train-0016,"Un perro marrón está saltando.
Un perro marrón está saltando",1.0
ENG-train-0017,"Fritz Laband era un futbolista alemán.
Fritz Laband es un ex futbolista alemán.",1.0
ENG-train-0018,"No le creas ni por un instante.
No le creas ni por un instante.",1.0
ENG-train-0019,"Especialmente si realmente te gusta y sabes que es tímido.
Especialmente si realmente te gusta y sabes que es tímido.",1.0
ENG-train-0020,"Un hombre en un mercado de agricultores.
Un hombre está en un mercado de agricultores.",1.0
ENG-train-0021,"La población era de 517 en el censo de 2000.
La población es de 517 personas en 2000.",1.0
ENG-train-0022,"Respira profundamente, aprovecha al máximo el aire.
Toma una respiración profunda, deja que el aire fluya.",1.0
ENG-train-0023,"Si me ves antes de que regrese, recuerda que espere.
Si quieres verme antes de que vuelva... por favor, pídeme que espere.",1.0
ENG-train-0024,"¿Por qué aún no se lo has dicho?
¿Por qué aún no se lo has dicho?",1.0
ENG-train-0025,"Estoy más cómodo cuando llueve.
En realidad me siento más cómodo cuando llueve.",1.0
ENG-train-0026,"Los romanos tenían un tipo especial de recinto conocido como glirarium usado para llevar el dormitorio para la mesa.
Los romanos tenían un lugar especial para guardar el sueño que se llamaba glirarium.",0.97
ENG-train-0027,"Es de Leo y no me gusta Leo.
Es de Leo. Odio a Leo.",0.97
ENG-train-0028,"Porque Pittsburgh es maravillosa y todos desean poder vivir allí.
¡Porque Pittsburgh es increíble y todos desean vivir allí!",0.97
ENG-train-0029,"Cuando intenté otra vez, pude hacer malabares.
¡Cuando volví a hacerlo, pude hacer malabares!",0.97
ENG-train-0030,"¿Alguna vez has visto la película ""Robin Hood: Príncipe de Ladrones""?
¿Has visto alguna vez la película 'Robin Hood, Príncipe de Ladrones'?",0.97
ENG-train-0031,"Estaba bromeando con la cosa del bebé de Gilligan... ¡Promesa!
Estaba bromeando con la cosa del bebé de Gilligan.",0.97
ENG-train-0032,"Dos perros están orinando en un hidrante de incendio rojo.
Dos perros están orinando en el hidrante de incendio rojo.",0.97
ENG-train-0033,"Tuve un gran avance en esa falda en la que estaba trabajando.
He hecho algunos progresos con la falda en la que estoy trabajando.",0.97
ENG-train-0034,"La población era de 127 en el censo de 2000.
La población es de 127 personas a partir de 2000.",0.97
ENG-train-0035,"No te enamores de una chica, más bien, deja que las chicas te enamoren.
P.S.: No te enamores de una chica... deja que las chicas te enamoren!!",0.97
ENG-train-0036,"Se suponía que era un gran momento para mí como padre.
Para mí como padre, debería haber sido un momento increíble.",0.97
ENG-train-0037,"George, Eliza y Harry también han obtenido su libertad tras cruzar Canadá.
George, Eliza y Harry finalmente llegaron a Canadá y se liberaron.",0.97
ENG-train-0038,"Pero he sido un buen jefe, ¿no?
Pero yo era un buen jefe, ¿verdad?",0.97
ENG-train-0039,"¡Nos pasamos muy bien en Las Vegas!
¡Hemos tenido una explosión en Las Vegas!",0.97
ENG-train-0040,"A veces se le conoce como el maletero.
Algunas personas también lo llaman el maletero.",0.97
ENG-train-0041,"Sí, soy una chica y me gustan los videojuegos.
Y sí, soy una chica a la que le gustan los videojuegos.",0.97
ENG-train-0042,"Acabo de saber que estoy embarazada y te culpo a ti.
Acabo de descubrir que estoy embarazada y es culpa tuya!!!",0.97
ENG-train-0043,"Esto es muy importante para ti, ¿no?
Es muy importante para ti, ¿verdad?",0.97
ENG-train-0044,"John Schneider ha envejecido con gracia, lo amaba en el programa 'Duches of Hazzard!'
John Schneider ha envejecido muy bien... ¡Me encantó en Los Duques de Hazzard!",0.97
ENG-train-0045,"Además, los hombres maduran más tarde que las mujeres.
Además, los hombres maduran más tarde que las mujeres.",0.97
ENG-train-0046,"Lo hace peor que nadie lo diga.
Es peor si nadie lo dice.",0.97
ENG-train-0047,"Luego, en veinte minutos, reúnanse en la pista de aterrizaje.
Se reúnen en la pista, en 20 minutos.",0.97
ENG-train-0048,"Todavía está en el aire.
Todavía es un lanzamiento..",0.97
ENG-train-0049,"Sí, recuerdo que fue muy bueno.
Sí, lo recuerdo. Fue bastante bueno.",0.97
ENG-train-0050,"Si le piden dinero, diles que no. Ningún agente debe ser pagado hasta que haya recibido el trabajo.
(si te piden dinero, dices que no... a ningún agente se le paga hasta que tengas un trabajo.",0.97
ENG-train-0051,"Y hay un gran número de estas células que componen el sistema nervioso.
El sistema nervioso está compuesto por un gran número de células.",0.97
ENG-train-0052,"Esa canción será tocada por los chicos a sus amigas.
Y los chicos tocarán esa canción para su novia o algo así.",0.97
ENG-train-0053,"Croacia comienza el recuento a la histórica entrada en la UE
Cuenta atrás de Croacia para la adhesión a la UE",0.97
ENG-train-0054,"Me gusta cuando el Underdog gana.
Me gusta cuando el perdedor gana.",0.97
ENG-train-0055,"Green Lantern será reintroducido como gay por DC Comics
Green Lantern se relanzará como un superhéroe gay",0.97
ENG-train-0056,"Moffitt dijo que los resultados deben replicarse en otro estudio antes de que se realicen pruebas en individuos para detectar la presencia de versiones largas o cortas del gen.
El profesor Moffitt dijo que los resultados necesitaban ser replicados antes de continuar la prueba de individuos para la presencia de las versiones largas o cortas del gen.",0.97
ENG-train-0057,"El estudio de estas criaturas ha sido mi trabajo de toda la vida.
He pasado toda mi vida estudiando estas criaturas.",0.97
ENG-train-0058,"El hombre está comiendo.
Un hombre está comiendo comida.",0.97
ENG-train-0059,"El ciego dijo: ""Veo"", mientras tomaba su martillo y veía.
Veo, dijo el ciego, mientras tomaba su martillo y veía.",0.97
ENG-train-0060,"El hombre y dos muchachos saltan en un trampolín.
Un hombre y dos muchachos saltan en un trampolín.",0.97
ENG-train-0061,"Greyhound hace un buen trabajo transportando a la gente a diferentes lugares.
Greyhound es muy bueno para llevarte a lugares a los que necesitas ir.",0.97
ENG-train-0062,"Él mantuvo el arma levantada, y aunque temblaba, todavía apuntaba en la dirección de David.
el arma todavía estaba apuntada, y aunque su mano temblaba, apuntaba prácticamente permanentemente a David.",0.97
ENG-train-0063,"La cantidad de amigos de mi padre me sorprende.
Me sorprende cuántos amigos tenía mi padre.",0.97
ENG-train-0064,"Me gusta mucho Billy Talent. Son uno de mis grupos favoritos.
Me encanta Billy Talent, es uno de mis favoritos.",0.97
ENG-train-0065,"Dos mujeres posando con un bebé.
Dos mujeres sonrientes sosteniendo a un bebé.",0.94
ENG-train-0066,"Buena suerte para completar tu tarea. Si obtienes la respuesta correcta, puedes ganar 5 puntos más.
Buena suerte y valdría otros 5 puntos si obtienes la respuesta correcta?",0.94
ENG-train-0067,"Su dirección es 47483 Dr. de Connecticut, Nashville.
Ellos viven en 47483 Connecticut Drive en Nashville",0.94
ENG-train-0068,"Él dice que desea un par de gafas de sol.
Él dice que quiere un par de gafas de sol!",0.94
ENG-train-0069,"Sigue buscando en diferentes áreas. Hay mujeres decentes y agradables por ahí.
Sigue buscando en diferentes lugares, hay decentes, divertidas, mujeres por ahí...",0.94
ENG-train-0070,"Se suponía que iba al cine y a las carreras de kart en mi baile de graduación.
¡En la noche del baile de graduación debía ir al cine y ir a las carreras de kart!",0.94
ENG-train-0071,"De cerca, las piezas de esquisto parecen bastante hermosas.
Las piezas de esquisto de primer plano se ven muy bien.",0.94
ENG-train-0072,"Alrededor de 60 aplastados hasta la muerte en el Stampede de Costa de Marfil
61 muertos en la estampida de Costa de Marfil",0.94
ENG-train-0073,"No más que cualquier otra mujer.
¡ No más que cualquier otra chica!",0.94
ENG-train-0074,"¡No estoy de acuerdo, me encantan las Urgencias y Wildfire!
No, me encantan las Urgencias... y Wildfire!",0.94
ENG-train-0075,"Coldplay se está volviendo popular muy rápidamente.
¡El Coldplay está llegando muy rápido!",0.94
ENG-train-0076,"La secuela, Pikmin 2, fue lanzada en 2004.
Pikmin tuvo una secuela llamada Pikmin 2 en 2004 para el GameCube también.",0.94
ENG-train-0077,"Una mujer y un hombre bailan bajo la lluvia.
Un hombre y una mujer bailan en la lluvia.",0.94
ENG-train-0078,"Los árboles de jamún comienzan a florecer de marzo a abril.
El árbol Jamun comienza a florecer en marzo-abril.",0.94
ENG-train-0079,"Los conejos de cola de algodón muestran una mayor resistencia a la mixomatosis que los conejos europeos.
Los conejos de cola de algodón no contraen la enfermedad mixomatosis tan fácilmente como los conejos europeos.",0.94
ENG-train-0080,"A mí y a mis amigos nos encantaba hacer manicure.
a mis amigos y a mí nos encantaba salir a hacer una manicura.",0.94
ENG-train-0081,"La segunda respuesta fue que acabo de ir al baño y me compré un Tampax.
La segunda respuesta fue: acabo de ir al baño y me traje un tampón.",0.94
ENG-train-0082,"Bishan tiene actualmente 3 centros comerciales.
Bishan tiene tres centros comerciales.",0.94
ENG-train-0083,"Muy bien, ¿quién está listo para unos panqueques de mantequilla de maní de plátano?
¿Quién quiere panqueques de plátano con mantequilla de maní?",0.94
ENG-train-0084,"He leído en alguna parte, una nueva película saldrá en 2008, o el próximo año.
Leí en algún lugar que saldrá una nueva película el próximo año o 2008.",0.94
ENG-train-0085,"Una mujer está midiendo el tobillo de otra mujer.
Una mujer mide el tobillo de otra mujer.",0.94
ENG-train-0086,"Puede que sea genético o le guste maquillaje de color oscuro en la nariz.
Tal vez es genético... o tal vez le gusta el maquillaje oscuro en la nariz!!!",0.94
ENG-train-0087,"Me gusta Tess, pero Jessica es demasiado buena.
Me gusta Tess, Jessica es muy buena.",0.94
ENG-train-0088,"El Estadio Pittodrie es un estadio de fútbol ubicado en la ciudad escocesa de Aberdeen.
El Estadio Pittodrie es un estadio en Aberdeen, Escocia.",0.94
ENG-train-0089,"Mi hijo tiene 31 años y sigue soltero.
No te sientas mal, mi hijo tiene 31 años y sigue soltero.",0.94
ENG-train-0090,"Un buen sitio web para revender tus libros es half.com.
¡Half.com es un gran sitio web para vender tus libros!",0.94
ENG-train-0091,"Flores, normalmente rosas, y una caja de dulces.
¡Las flores normalmente son rosas y una cosa de dulces!",0.94
ENG-train-0092,"Te sacaré a salvo de Roma.
Te llevaré de Roma a un lugar seguro.",0.94
ENG-train-0093,"Bueno, aquí hay un sitio de nudos de deslizamiento www.Pulseofthemaggots.com.
Bueno, aquí está un sitio web de ""Slipknot"" www.pulseofthemaggots.com!!",0.94
ENG-train-0094,"Sus preguntas no tienen ningún sentido.
Sus preguntas no tienen sentido!!!!!!",0.94
ENG-train-0095,"Depende, ¿realmente quieres conocerlo?
Depende de si realmente quieres conocerlo.",0.94
ENG-train-0096,"El modelo de la Tierra plana es una visión de que la forma de la Tierra es un plano plano.
La idea de una Tierra plana es que la superficie de la Tierra es plana.",0.94
ENG-train-0097,"La fluoxetina es un antidepresivo de la clase de inhibidores selectivos de la recaptación de serotonina.
La fluoxetina es uno de un grupo de antidepresivos llamados inhibidores selectivos de la recaptación de serotonina.",0.94
ENG-train-0098,"Ya has tomado tu decisión.
ya has tomado tu decisión... se acabó.",0.94
ENG-train-0099,"Amsterdam es un montón de prostitutas, ¿verdad?
Sólo hay un montón de prostitutas en Ámsterdam, ¿verdad?",0.94
ENG-train-0100,"La oposición siria ofrece una tregua a Asad en Homs durante el Ramadán
La oposición siria ofrece a las fuerzas de Assad una tregua durante el Ramadán",0.94
ENG-train-0101,"Me gusta esa canción si es la canción correcta.
Me gusta esa canción si es la canción correcta.",0.94
ENG-train-0102,"Obama elogia a Mandela por su ""inspiración""
Obama saluda el efecto de inspiración de Mandela",0.94
ENG-train-0103,"¡Hazte feliz antes que nadie más!
¡Hágase feliz antes que nadie!",0.94
ENG-train-0104,"Las acciones de KL se mantienen más altas a mediados de la tarde
Las acciones de KL continúan subiendo a mediodía",0.94
ENG-train-0105,"El autógrafo también se refiere a la firma de una persona.
Un autógrafo también puede significar la firma de alguien.",0.94
ENG-train-0106,"Game Maker es un programa de Windows desarrollado originalmente por Mark Overmars en el lenguaje de programación Delphi.
Game Maker es un programa para Windows, un sistema operativo, que fue creado por primera vez por Mark Overmars.",0.94
ENG-train-0107,"No es de extrañar que Edward reaccionara de esta manera.
No fue de extrañar que Edward reaccionara así.",0.94
ENG-train-0108,"No estoy seguro de si necesitas saxofón o música para piano.
No estoy seguro de si necesitabas saxofonía o música para piano, de todos modos.",0.94
ENG-train-0109,"Keifer se desempeñó bien como Jack Bauer.
Sí, Keifer hace un gran trabajo como Jack Bauer!!",0.94
ENG-train-0110,"En 1850, Strauss se llamaba a sí mismo Levi.
En 1850 había adoptado el nombre de Levi Strauss.",0.94
ENG-train-0111,"Llévelo a un lado y dile lo que realmente sientes.
Llévalo a un lado y dile cómo te sientes verdaderamente.",0.94
ENG-train-0112,"Se le atribuye a Fred Hoyle la invención del término Big Bang durante una emisión de radio de 1949.
Fred Hoyle llamó a la teoría el Big Bang en su programa de radio.",0.94
ENG-train-0113,"Snowden no ve ""ni una oportunidad"" para un juicio justo en Estados Unidos
Snowden no ve ""ni una posibilidad"" de obtener un juicio justo en EE.UU.",0.94
ENG-train-0114,"Creo que podría haber sido más dramático.
Creo que podría haber sido más dramático!",0.94
ENG-train-0115,"Un salario mínimo es el salario horario, diario o mensual más bajo que los empleadores pueden pagar legalmente a los empleados o trabajadores.
El salario mínimo es la menor cantidad de dinero que se puede pagar a los empleados de una empresa.",0.94
ENG-train-0116,"Soy negra y me ha parecido gracioso.
Soy negro y me pareció graciosamente divertido!!!",0.94
ENG-train-0117,"Los pinceles de los artistas suelen tener tamaños numerados, aunque no hay un estándar exacto para sus dimensiones físicas.
Los pinceles de los artistas suelen tener tamaños con números, pero no hay estándar.",0.94
