split,genre,dataset,year,sid,score,sentence1,sentence2
train,main-captions,MSRvid,2012test,0001,5.0,Jirgin sama yana tashi.,Jirgin sama yana tashi.
train,main-captions,MSRvid,2012test,0005,3.8,Wani mutum yana yada cuku a kan pizza.,Wani mutum yana yada yankakken cuku a kan pizza mara dafa.
train,main-captions,MSRvid,2012test,0006,2.6,Mutane uku suna wasa da chess.,Mutane biyu suna wasa da chess.
train,main-captions,MSRvid,2012test,0009,4.25,Wani mutum yana wasa da cello.,Wani mutum yana zaune yana wasa da cello.
train,main-captions,MSRvid,2012test,0011,4.25,Wasu mutane suna gwagwarmaya.,Mutane biyu suna faɗa.
train,main-captions,MSRvid,2012test,0012,0.5,Wani mutum yana shan taba.,Wani mutum yana yin tsalle-tsalle.
train,main-captions,MSRvid,2012test,0013,1.6,Mutumin yana wasa da piano.,Mutumin yana wasa da guitar.
train,main-captions,MSRvid,2012test,0014,2.2,Wani mutum yana wasa da guitar kuma yana raira waƙa.,Wata mace tana wasa da guitar mai sauti kuma tana raira waƙa.
train,main-captions,MSRvid,2012test,0016,5.0,Wani mutum yana jefa cat a kan rufi.,Wani mutum ya jefa cat a kan rufi.
train,main-captions,MSRvid,2012test,0017,4.2,Mutumin ya bugi wani mutum da sanda.,Mutumin ya buge wani mutum da sanda.
train,main-captions,MSRvid,2012test,0018,4.6,Wata mace ta ɗauki jariri kangaroo kuma ta riƙe shi.,Wata mace ta ɗauki wani jariri kangaroo a hannunta.
train,main-captions,MSRvid,2012test,0019,3.867,Wani mutum yana wasa da ƙuƙwalwar ƙuƙwalwar ƙuƙwalwar ƙuƙwalwar ƙuƙwalwar ƙuƙwalwar ƙuƙwalwar ƙuƙwalwar ƙuƙwalwar ƙuƙwalwar ƙuƙwalwar ƙu.,Wani mutum yana wasa da bututun bamboo.
train,main-captions,MSRvid,2012test,0020,4.667,Mutum yana ninka takarda.,Wani yana ninka takarda.
train,main-captions,MSRvid,2012test,0021,1.667,Wani mutum yana gudu a kan hanya.,Wani kare panda yana gudu a kan hanya.
train,main-captions,MSRvid,2012test,0022,3.75,A kare yana kokarin samun bacon daga baya.,A kare yana kokarin ci bacon a kan baya.
train,main-captions,MSRvid,2012test,0025,5.0,Bear polar yana zamewa a kan dusar ƙanƙara.,Wani polar bear yana zamewa a kan dusar ƙanƙara.
train,main-captions,MSRvid,2012test,0026,0.5,Wata mace tana rubutu.,Wata mace tana yin iyo.
train,main-captions,MSRvid,2012test,0028,3.8,Wani cat yana shafawa da fuskar jariri.,Wani cat yana shafawa a kan jariri.
