PairID,Text,Score
ENG-train-0000,"అది జరిగితే, కేవలం ప్లగ్ ఆఫ్ లాగండి.
అది ఎప్పుడైనా జరుగుతుంది ఉంటే, కేవలం ప్లగ్ ఆఫ్ లాగండి.",1.0
ENG-train-0001,"నీటిలో నడుస్తున్న ఒక నల్ల కుక్క.
ఒక నల్ల కుక్క నీటిలో నడుస్తోంది.",1.0
ENG-train-0002,"నేను మీరు కోసం మొత్తం మఠం శోధించడం జరిగింది.
నేను మఠం అంతటా మీరు వెతుకుతున్న.",1.0
ENG-train-0003,"అతను అందంగా మరియు మంచి వ్యక్తిత్వం కలిగి ఉంటే, అతను హేట్రాయిట్ కావచ్చు - కానీ బైసెక్సల్ ఎక్కువగా ఉంటుంది.
అతను మంచి చూడండి ఉంటే, మరియు ఒక మంచి వ్యక్తిత్వం, అతను హెట్రో కావచ్చు, కానీ మరింత అవకాశం బై.",1.0
ENG-train-0004,"ఆమె మీరు ద్వేషం లేదు, ఆమె కేవలం మీరు కోపంగా ఉంది.
ఆమె మీరు ద్వేషం లేదు, ఆమె కేవలం కోపంగా ఉంది.",1.0
ENG-train-0005,"నటుడు గాజారా 81 ఏళ్ళ వయసులో మృతి చెందాడు
నటుడు బెన్ గాజారా 81 ఏళ్ళ వయసులో మృతి చెందాడు",1.0
ENG-train-0006,"లేదు, నేను నిజంగా న్యూయార్క్ గెలుచుకున్న కోరుకోలేదు.
లేదు నేను న్యూయార్క్ గెలుచుకున్న కోరుకోలేదు",1.0
ENG-train-0007,"నాకు వారితో ఎటువంటి సమస్యలు లేవు.
lol నేను వారితో సమస్యలు లేవు.",1.0
ENG-train-0008,"మీ తల్లిదండ్రులు మీ ప్రియుడు ఇష్టం లేదు, మీరు.
మీ తల్లిదండ్రులు మీ BF ఇష్టం లేదు, మీరు.",1.0
ENG-train-0009,"నేను టేలర్ నిజంగా cute ఉంది అనుకుంటున్నాను, కానీ నేను అతని వాయిస్ ద్వేషం.
నేను టేలర్ SUPER cute అని అనుకుంటున్నాను. కానీ నేను అతని స్వరం ద్వేషం.",1.0
ENG-train-0010,"ఒక తేలికపాటి గోధుమ కుక్క ఒక మార్గంలో సంతోషంగా నడుస్తుంది.
ఒక బ్లేడ్ కుక్క ఒక మార్గంలో నడుస్తుంది.",1.0
ENG-train-0011,"మీ బ్యాగ్ లో నాలుగు సంవత్సరాల వయస్సు.
మీ బ్యాగ్ లో 4 సంవత్సరాల వయస్సు",1.0
ENG-train-0012,"మీరు తరువాత కనుగొంటారు ఉండవచ్చు, మీరు పరిపూర్ణ ఒకటి కోల్పోయింది.
మీరు తరువాత మీరు పరిపూర్ణ కోల్పోయింది కనుగొనేందుకు ఉండవచ్చు.",1.0
ENG-train-0013,"ఆమె కేవలం స్నేహితులుగా ఉండాలని ఆమె పేర్కొంది ఉంటే, అప్పుడు అది చాలా ఆలస్యం.
ఆమె కేవలం స్నేహితులుగా ఉండాలని చెప్పినట్లయితే అది ఇప్పటికే చాలా ఆలస్యం.",1.0
ENG-train-0014,"ఒక వ్యక్తి ఒక పాన్ లో బియ్యం ఒక roni కురిపించింది.
ఒక వ్యక్తి ఒక పాన్ లో ric-a-roni పోయాలి.",1.0
ENG-train-0015,"అబ్బాయిలు వింతగా ఉంటాయి. నేను తెలుసుకోవాలి.
అబ్బాయిలు వింతగా ఉంటాయి; నేను తెలుసు ఉండాలి.",1.0
ENG-train-0016,"ఒక బ్రౌన్ కుక్క జంపింగ్ ఉంది.
ఒక బ్రౌన్ కుక్క జంపింగ్ ఉంది",1.0
ENG-train-0017,"ఫ్రిట్జ్ లాబ్యాండ్ ఒక జర్మన్ ఫుట్బాల్ క్రీడాకారుడు.
ఫ్రిట్జ్ లాబ్యాండ్ ఒక మాజీ జర్మన్ ఫుట్బాల్ క్రీడాకారుడు.",1.0
ENG-train-0018,"ఈ వ్యక్తి ఒక క్షణం నమ్మకం లేదు.
ఈ వ్యక్తి ఒక క్షణం నమ్మకం లేదు.",1.0
ENG-train-0019,"ముఖ్యంగా మీరు అతనిని నిజంగా ఇష్టం మరియు అతను సిగ్గుపడే తెలుసు ఉంటే.
ముఖ్యంగా మీరు అతనిని నిజంగా ఇష్టం మరియు అతను సిగ్గుపడే తెలుసు ఉంటే.",1.0
ENG-train-0020,"ఒక రైతు మార్కెట్ వద్ద ఒక వ్యక్తి.
ఒక వ్యక్తి ఒక రైతు మార్కెట్ వద్ద ఉంది.",1.0
ENG-train-0021,"2000 జనాభా లెక్కల ప్రకారం జనాభా 517 మంది.
2000 నాటికి జనాభా 517 మంది.",1.0
ENG-train-0022,"లోతైన శ్వాస తీసుకోండి, గాలిని ఎక్కువగా ఉపయోగించుకోండి.
ఒక లోతైన శ్వాస తీసుకోండి, గాలి ప్రవాహం వీలు.",1.0
ENG-train-0023,"నేను తిరిగి రావడానికి ముందు మీరు నన్ను చూస్తే, దయచేసి వేచి ఉండమని నాకు గుర్తు చేయండి.
నేను తిరిగి ముందు మీరు నన్ను చూడాలి ఉంటే... దయచేసి నేను వేచి అడగండి.",1.0
ENG-train-0024,"ఎందుకు మీరు ఇంకా వారికి చెప్పలేదు?
ఎందుకు మీరు ఇంకా వారికి చెప్పలేదు?",1.0
ENG-train-0025,"వర్షం పడుతున్నప్పుడు నేను మరింత సౌకర్యంగా ఉన్నాను.
నిజానికి వర్షం పడుతున్నప్పుడు నేను మరింత సౌకర్యంగా ఉన్నాను.",1.0
ENG-train-0026,"రోమన్లు గ్లిరారియమ్ అని పిలువబడే ఒక ప్రత్యేక రకమైన కోటను కలిగి ఉన్నారు, ఇది పట్టిక కోసం నిద్రను వెనుకకు తీసుకువెళుతుంది.
రోమన్లు నిద్రను ఉంచడానికి ఒక ప్రత్యేక స్థలాన్ని కలిగి ఉన్నారు దీనిని గ్లిరారియం అని పిలుస్తారు.",0.97
ENG-train-0027,"ఇది లియో యొక్క మరియు నేను లియో ఇష్టం లేదు.
ఇది లియో యొక్క... నేను లియోను ద్వేషిస్తున్నాను.",0.97
ENG-train-0028,"ఎందుకంటే పిట్స్బర్గ్ అద్భుతమైనది మరియు ప్రతి ఒక్కరూ అక్కడ నివసించాలని కోరుకుంటారు.
ఎందుకంటే పిట్స్బర్గ్ అద్భుతమైనది మరియు ప్రతి ఒక్కరూ అక్కడ నివసించాలని కోరుకుంటారు!",0.97
ENG-train-0029,"నేను మళ్ళీ ప్రయత్నించినప్పుడు, నేను జొంగల్ చేయగలిగాను.
నేను తిరిగి వెళ్ళినప్పుడు, నేను జాంగ్లింగ్ చేయగలిగాను!",0.97
ENG-train-0030,"మీరు ఎప్పుడైనా ""రోబిన్ హూడ్ః ప్రిన్స్ ఆఫ్ థివల్స్"" సినిమా చూశారా?
ఎప్పుడైనా 'రోబిన్ హూడ్, ప్రిన్స్ ఆఫ్ థివెస్' సినిమా చూశారా?",0.97
ENG-train-0031,"నేను గిల్లిగాన్ యొక్క శిశువు విషయం గురించి ఒక జోక్ ఉంది. వాగ్దానం!
నేను గిల్లిగాంట్స్ బేబీ విషయం గురించి జోక్.",0.97
ENG-train-0032,"రెడ్ ఫైర్ హైడ్రంట్ వద్ద రెండు కుక్కలు మూత్రవిసర్జన చేస్తున్నారు.
రెడ్ ఫైర్ హైడ్రంట్ మీద రెండు కుక్కలు మూత్రవిసర్జన చేస్తున్నాయి.",0.97
ENG-train-0033,"నేను పని చేస్తున్న ఆ ఫాబ్రిక్ మీద నేను ఒక పెద్ద పురోగతి సాధించాను.
నేను పని చేస్తున్న ఫ్రంట్ తో కొంత పురోగతి సాధించాను.",0.97
