split,genre,dataset,year,sid,score,sentence1,sentence2
train,main-captions,MSRvid,2012test,0001,5.0,एक विमान उड्डाण करत आहे.,एक विमान उड्डाण करत आहे.
train,main-captions,MSRvid,2012test,0004,3.8,एक माणूस मोठा फ्लोट वाजवत आहे.,एक माणूस फ्लूट वाजवत आहे.
train,main-captions,MSRvid,2012test,0005,3.8,एक माणूस पिझ्झावर क्रश केलेला चीज पसरवत आहे.,एक माणूस कच्च्या पिझ्झावर तुटलेली चीज पसरवत आहे.
train,main-captions,MSRvid,2012test,0006,2.6,तीन माणसे शतरंज खेळत आहेत.,दोन माणसे शतरंज खेळत आहेत.
train,main-captions,MSRvid,2012test,0009,4.25,एक माणूस झेलो वाजवत आहे.,बसलेला एक माणूस झेलो वाजवत आहे.
train,main-captions,MSRvid,2012test,0011,4.25,काही माणसे लढत आहेत.,दोन माणसे लढत आहेत.
train,main-captions,MSRvid,2012test,0012,0.5,एक माणूस धूम्रपान करत आहे.,एक माणूस स्केटिंग करत आहे.
train,main-captions,MSRvid,2012test,0013,1.6,तो माणूस पियानो वाजवत आहे.,तो माणूस गिटार वाजवत आहे.
train,main-captions,MSRvid,2012test,0014,2.2,एक माणूस गिटार वाजवत आहे आणि गावत आहे.,एक स्त्री अकौस्टिक गिटार वाजवत आहे आणि गावत आहे.
train,main-captions,MSRvid,2012test,0016,5.0,एखादी व्यक्ती एका मांजरीला छतावर फेकत आहे.,एखादी व्यक्ती एका मांजरीला छतावर टाकते.
train,main-captions,MSRvid,2012test,0017,4.2,त्या माणसाने दुसऱ्या माणसाला लाठीने मारले.,त्या माणसाने दुसऱ्या माणसाला छडीने थप्पड मारली.
train,main-captions,MSRvid,2012test,0018,4.6,एका महिलेने एक बाळ कांगूर उचलले आणि हातात घेतले.,एक स्त्री उठते आणि तिच्या हातात एक बाळ कांगूर धरते.
train,main-captions,MSRvid,2012test,0019,3.867,एक माणूस फ्लूट वाजवत आहे.,एक माणूस बांबू फ्लूट वाजवत आहे.
train,main-captions,MSRvid,2012test,0020,4.667,एखादी व्यक्ती कागदाचा एक तुकडा दुमडत आहे.,कोणीतरी कागदाचा एक तुकडा दुमडत आहे.
train,main-captions,MSRvid,2012test,0021,1.667,एक माणूस रस्त्यावर धावतो.,एक पांडा कुत्रा रस्त्यावर धावतो.
train,main-captions,MSRvid,2012test,0022,3.75,एक कुत्रा त्याच्या पाठीवरून बेकन काढण्याचा प्रयत्न करीत आहे.,एक कुत्रा त्याच्या मागे बेकन खाण्याचा प्रयत्न करीत आहे.
train,main-captions,MSRvid,2012test,0025,5.0,ध्रुवीय अस्वल बर्फावर सरकत आहे.,ध्रुवीय अस्वल हिमातून सरकत आहे.
train,main-captions,MSRvid,2012test,0026,0.5,एक स्त्री लिहित आहे.,एक स्त्री पोहात आहे.
train,main-captions,MSRvid,2012test,0028,3.8,एक मांजर बाळाच्या चेहऱ्यावर घालत आहे.,एक मांजर बाळाला भिजत आहे.
train,main-captions,MSRvid,2012test,0029,5.0,तो माणूस घोड्यावर सवार आहे.,एक माणूस घोड्यावर चढत आहे.
train,main-captions,MSRvid,2012test,0030,3.2,एखादा माणूस भांडेमध्ये तेल ओततो.,एक माणूस भांडे मध्ये वाइन ओततो.
train,main-captions,MSRvid,2012test,0031,2.8,एक माणूस गिटार वाजवत आहे.,एक मुलगी गिटार वाजवत आहे.
train,main-captions,MSRvid,2012test,0032,4.6,एक पांडा स्लाइडवरून खाली सरकत आहे.,एक पांडा स्लाइडवर खाली सरकत आहे.
train,main-captions,MSRvid,2012test,0034,3.0,एक स्त्री काहीतरी खात आहे.,एक स्त्री मांस खात आहे.
train,main-captions,MSRvid,2012test,0035,5.0,एक स्त्री बटाट्याची कपाल काढते.,एक स्त्री बटाट्याची कापणी करत आहे.
train,main-captions,MSRvid,2012test,0038,4.8,मुलगा त्याच्या बाईकवरून पडला.,एक मुलगा त्याच्या बाईकवरून पडतो.
train,main-captions,MSRvid,2012test,0040,5.0,ती स्त्री फ्लोट वाजवत आहे.,एक स्त्री फ्लोट वाजवत आहे.
train,main-captions,MSRvid,2012test,0042,4.2,एक मुर्गा गरुडापासून पळून जात आहे.,एक मुर्गा गरुडापासून पळून जात आहे.
train,main-captions,MSRvid,2012test,0044,4.2,ती स्त्री एक ब्रेड केलेले डुकराचे मांस फ्राय करत आहे.,एक स्त्री एक ब्रेड केलेले डुकराचे मांस शिजवत आहे.
train,main-captions,MSRvid,2012test,0046,4.0,एक मुलगी पतंग उडवत आहे.,धावणारी मुलगी पतंग उड्डाण करणारी आहे.
train,main-captions,MSRvid,2012test,0047,4.0,एक माणूस यांत्रिक बैलावर जात आहे.,एक माणूस यांत्रिक बैलावर चढला.
train,main-captions,MSRvid,2012test,0048,4.909,तो माणूस गिटार वाजवत आहे.,एक माणूस गिटार वाजवत आहे.
train,main-captions,MSRvid,2012test,0050,3.0,एक स्त्री इतर स्त्रियांसोबत नाचत आणि गावत आहे.,पाऊसात एक स्त्री नाचत आणि गावत आहे.
train,main-captions,MSRvid,2012test,0052,2.4,एक माणूस भाकरी कापून घेत आहे.,एखादा माणूस प्याज कापून घेत आहे.
train,main-captions,MSRvid,2012test,0053,4.2,एक माणूस पॅनमध्ये तेल ओतत आहे.,एक माणूस एक भांडे मध्ये तेल ओतत आहे.
train,main-captions,MSRvid,2012test,0054,3.4,एक सिंह लोकांशी खेळत आहे.,एक सिंह दोन पुरुषांसोबत खेळत आहे.
train,main-captions,MSRvid,2012test,0055,5.0,एक कुत्रा स्केटबोर्डवर बसतो.,एक कुत्रा स्केटबोर्डवर जात आहे.
train,main-captions,MSRvid,2012test,0056,3.75,कोणीतरी मूर्ती काढत आहे.,एक माणूस पुतळा काढत आहे.
train,main-captions,MSRvid,2012test,0057,2.75,एक स्त्री एक कापूस कापत आहे.,एक माणूस प्याज कापतो आहे.
train,main-captions,MSRvid,2012test,0058,5.0,एक स्त्री शेंगदाणाची कातडी काढते.,एक स्त्री शेंगदाणाची त्वचा काढत आहे.
train,main-captions,MSRvid,2012test,0059,4.0,एक स्त्री मासे फ्राय करत आहे.,एक स्त्री मासे शिजवत आहे.
train,main-captions,MSRvid,2012test,0061,3.6,एक स्त्री इलेक्ट्रिक गिटार वाजवत आहे.,एक स्त्री गिटार वाजवत आहे.
train,main-captions,MSRvid,2012test,0062,1.6,एक वाघ बाळ चेंडू खेळत आहे.,एक बाळ एका बाहुल्यासोबत खेळत आहे.
train,main-captions,MSRvid,2012test,0064,1.75,एखादी व्यक्ती टोमॅटो कापत आहे.,एखादी व्यक्ती काही मांस कापून घेत आहे.
train,main-captions,MSRvid,2012test,0065,5.0,एखादी व्यक्ती प्याज कापते.,एखादी व्यक्ती लसूण कापत आहे.
train,main-captions,MSRvid,2012test,0068,1.0,एक माणूस पियानो वाजवत आहे.,एक स्त्री वायलिन वाजवत आहे.
train,main-captions,MSRvid,2012test,0069,1.0,एक स्त्री फ्लोट वाजवत आहे.,एक माणूस गिटार वाजवत आहे.
train,main-captions,MSRvid,2012test,0070,2.375,एक माणूस बटाट्याची कापणी करत आहे.,एक माणूस गाजर कापत आहे.
train,main-captions,MSRvid,2012test,0071,3.8,एक मुलगा गिटार वाजवत आहे.,एक मुलगा गिटार वाजवत आहे.
train,main-captions,MSRvid,2012test,0072,3.2,एक मुलगा गिटार वाजवत आहे.,एक माणूस गिटार वाजवत आहे.
