split,genre,dataset,year,sid,score,sentence1,sentence2
train,main-captions,MSRvid,2012test,0001,5.0,አውሮፕላን እየበረረ ነው።,አንድ አየር አውሮፕላን መነሳት ነው.
train,main-captions,MSRvid,2012test,0004,3.8,አንድ ሰው ትልቅ ፉልት እየተጫወተ ነው።,አንድ ሰው ፍላጣ እየተጫወተ ነው።
train,main-captions,MSRvid,2012test,0005,3.8,አንድ ሰው በፒዛ ላይ የተቆረጠ አይብ እያሰራጨ ነው።,አንድ ሰው ያልተጠበሰ ፒዛ ላይ የተቀደሰውን አይብ እያሰራጨ ነው።
train,main-captions,MSRvid,2012test,0006,2.6,ሦስት ሰዎች ቼዝ እየተጫወቱ ነው።,ሁለት ሰዎች ቼዝ እየተጫወቱ ነው።
train,main-captions,MSRvid,2012test,0009,4.25,አንድ ሰው ቼሎ እየተጫወተ ነው።,አንድ ሰው ተቀምጦ ቼሎ እየተጫወተ ነው።
train,main-captions,MSRvid,2012test,0011,4.25,አንዳንድ ሰዎች እየታገሉ ነው።,ሁለት ሰዎች እየታገሉ ነው።
train,main-captions,MSRvid,2012test,0012,0.5,አንድ ሰው ማጨስ ነው.,አንድ ሰው በበረዶ መንሸራተት ላይ ነው።
train,main-captions,MSRvid,2012test,0013,1.6,ሰውየው ፒያኖውን እየተጫወተ ነው።,ሰውየው ጊታር እየተጫወተ ነው።
train,main-captions,MSRvid,2012test,0014,2.2,አንድ ሰው ጊታር እየተጫወተ እና እየዘመረ ነው።,አንዲት ሴት የድምፅ ጊታር እየተጫወተች እና እየዘመረች ነው።
train,main-captions,MSRvid,2012test,0016,5.0,አንድ ሰው አንድ ድመት በጣሪያው ላይ እየጣለ ነው።,አንድ ሰው አንድ ድመት በጣሪያው ላይ ይጥላል።
train,main-captions,MSRvid,2012test,0017,4.2,ሰውየው ሌላውን ሰው በትር ደበደበ።,ሰውየው ሌላውን ሰው በትር ደበደበ።
train,main-captions,MSRvid,2012test,0018,4.6,አንዲት ሴት ሕፃን ካንጉሩን ትይዛለችና ትይዛለች።,አንዲት ሴት አንድ ሕፃን ካንጉሩን በእጇ ትይዛለች።
train,main-captions,MSRvid,2012test,0019,3.867,አንድ ሰው ፍላጣ እየተጫወተ ነው።,አንድ ሰው በባምቡ flute እየተጫወተ ነው.
train,main-captions,MSRvid,2012test,0020,4.667,አንድ ሰው የወረቀት ቁራጭ እያሰፋ ነው።,አንድ ሰው የወረቀት ቁራጭ እያሰፋ ነው።
train,main-captions,MSRvid,2012test,0021,1.667,አንድ ሰው በመንገድ ላይ እየሮጠ ነው።,አንድ ፓንዳ ውሻ በመንገድ ላይ እየሮጠ ነው።
train,main-captions,MSRvid,2012test,0022,3.75,አንድ ውሻ ከጀርባው ላይ ቤከን ለመውሰድ እየሞከረ ነው.,አንድ ውሻ ጀርባው ላይ ያለውን ቤከን ለመብላት እየሞከረ ነው.
train,main-captions,MSRvid,2012test,0025,5.0,ደብዛዛው ድብ በበረዶ ላይ ተንሸራታች ነው።,የከዋክብት ድብ በበረዶው ላይ ተንሸራታች ነው።
train,main-captions,MSRvid,2012test,0026,0.5,አንዲት ሴት እየጻፈች ነው።,አንዲት ሴት እየሰፈነች ነው።
train,main-captions,MSRvid,2012test,0028,3.8,ድመት በህፃኑ ፊት ላይ እየገፋች ነው።,አንድ ድመት በህፃን ላይ ይንከባከባል.
train,main-captions,MSRvid,2012test,0029,5.0,ሰውየው በፈረሱ ላይ ይጋልባል።,አንድ ሰው በፈረሱ ላይ ይጋልባል።
train,main-captions,MSRvid,2012test,0030,3.2,አንድ ሰው ዘይት ወደ ማሰሮ ውስጥ ይፈስሳል.,አንድ ሰው ወይን በጠርሙስ ውስጥ ይፈስሳል.
train,main-captions,MSRvid,2012test,0031,2.8,አንድ ሰው ጊታር እየተጫወተ ነው።,አንዲት ልጅ ጊታር እየተጫወተች ነው።
train,main-captions,MSRvid,2012test,0032,4.6,አንድ ፓንዳ አንድ ተንሸራታች ላይ ተንሸራታች ነው.,አንድ ፓንዳ አንድ ተንሸራታች ላይ ተንሸራታች.
train,main-captions,MSRvid,2012test,0034,3.0,አንዲት ሴት የሆነ ነገር ትበላለች።,አንዲት ሴት ሥጋ ትበላለች።
train,main-captions,MSRvid,2012test,0035,5.0,አንዲት ሴት ድንች ትቆርጣለች።,አንዲት ሴት ድንች እየቆረጠች ነው።
train,main-captions,MSRvid,2012test,0038,4.8,ልጁ ብስክሌቱ ላይ ወድቋል.,አንድ ልጅ ብስክሌቱ ላይ ይወድቃል።
train,main-captions,MSRvid,2012test,0040,5.0,ሴትየዋ ፉልታ እየተጫወተች ነው።,አንዲት ሴት ፉልታ እየተጫወተች ነው።
train,main-captions,MSRvid,2012test,0042,4.2,ጥንቸል ከንስር እየሮጠ ነው።,ጥንቸል ከንስር እየሮጠ ነው።
train,main-captions,MSRvid,2012test,0044,4.2,ሴትየዋ የወይን ጠጅ ቂጣ እየጠበሰች ነው።,አንዲት ሴት የወይን ጠጅ ቂጣ እያዘጋጀች ነው።
train,main-captions,MSRvid,2012test,0046,4.0,አንዲት ልጃገረድ ነፋስን እየበረረች ነው።,የምትሮጥ ልጃገረድ ነፋስን ትበርራለች።
train,main-captions,MSRvid,2012test,0047,4.0,አንድ ሰው በሜካኒካል በሬ ላይ ይጋልባል.,አንድ ሰው በሜካኒካል በሬ ላይ ተቀምጦ ነበር።
train,main-captions,MSRvid,2012test,0048,4.909,ሰውየው ጊታር እየተጫወተ ነው።,አንድ ሰው ጊታር እየተጫወተ ነው።
train,main-captions,MSRvid,2012test,0050,3.0,አንዲት ሴት ከሌሎች ሴቶች ጋር ታጨዳለችና ትዘምራለች።,አንዲት ሴት በዝናብ ውስጥ እየዘመረችና እየጨፈጨፈች ነው።
train,main-captions,MSRvid,2012test,0052,2.4,አንድ ሰው ዳቦ እየቆረጠ ነው።,አንድ ሰው ሽንኩርት እየቆረጠ ነው።
train,main-captions,MSRvid,2012test,0053,4.2,አንድ ሰው ወደ ማሰሮ ዘይት እየፈሰሰ ነው።,አንድ ሰው ወደ ማሰሮ ዘይት እየፈሰሰ ነው።
train,main-captions,MSRvid,2012test,0054,3.4,አንበሳ ከሰው ጋር እየተጫወተ ነው።,አንበሳ ከሁለት ሰዎች ጋር እየተጫወተ ነው።
train,main-captions,MSRvid,2012test,0055,5.0,አንድ ውሻ የስኬትቦርድ ይጋልባል.,አንድ ውሻ በስኬትቦርድ ላይ ይጋልባል.
train,main-captions,MSRvid,2012test,0056,3.75,አንድ ሰው ሐውልት እየቆረጠ ነው።,አንድ ሰው ሐውልት እየቆረጠ ነው።
train,main-captions,MSRvid,2012test,0057,2.75,አንዲት ሴት ሽንኩርት እየቆረጠች ነው።,አንድ ሰው አንድ ሽንኩርት እየቆረጠ ነው።
train,main-captions,MSRvid,2012test,0058,5.0,አንዲት ሴት ሽሪምፕን ትቆርጣለች።,አንዲት ሴት ሽሪምፕን እየገለበጠች ነው።
train,main-captions,MSRvid,2012test,0059,4.0,አንዲት ሴት ዓሣ እየጠበሰች ነው።,አንዲት ሴት ዓሣ እያዘጋጀች ነው።
train,main-captions,MSRvid,2012test,0061,3.6,አንዲት ሴት የኤሌክትሪክ ጊታር ትጫወታለች።,አንዲት ሴት ጊታር እየተጫወተች ነው።
