split,genre,dataset,year,sid,score,sentence1,sentence2
train,main-captions,MSRvid,2012test,0001,5.0,الطائرة كايطير.,طائرة جوية تطير.
train,main-captions,MSRvid,2012test,0004,3.8,وَاحْدْ الرَّاجْلْ كَيْعَزّْبْ عْلَى فَلُوطَة كْبِيرَة.,وَاحْدْ الرَّاجْلْ كَيْعَزّْفْ فْالْفَلْيَة.
train,main-captions,MSRvid,2012test,0005,3.8,رَاجِلْ كَيْفَرّْقْ الجّْبّْ الْمْقَطّْعْ عْلَى بِيتزا.,رَاجِلْ كَيْتّْفَرّْقْ الجّْبّْ الْمْقَطّْعْ عْلَى بِيتزا مَا طَبّْخَاتْشْ.
train,main-captions,MSRvid,2012test,0006,2.6,تلاتة رِجَالْ كَيْلْعَاوْ شَاكْ.,كان لعب رجلين شطرنج.
train,main-captions,MSRvid,2012test,0009,4.25,رجل كانعزف على الكيلو.,الرجل الجالس يعزف على الكيلو.
train,main-captions,MSRvid,2012test,0011,4.25,شِي رِجَالْ كَيْتّْشَاجْرُو.,رَاجْلَانْ كَيْتّْشَاجْرُو.
train,main-captions,MSRvid,2012test,0012,0.5,رَاجِلْ كَيْتّْدَخّْنْ.,رجل يتزلج.
train,main-captions,MSRvid,2012test,0013,1.6,الرّجُل كَيْعَزّْفْ على البيانو.,الرَّاجِلْ كَيْعَزّْفْ عَنْدُه الجِيتَارْ.
train,main-captions,MSRvid,2012test,0014,2.2,وَاحْدْ الرَّاجْلْ كَيْعَزّْفْ عْلَى الْغِيتَارَة وْكَيْغْنَى.,إمرأة تعزف على غيتار صوتية وتغني.
train,main-captions,MSRvid,2012test,0016,5.0,أحدهم يرمي قطة على السقف.,الشخص يرمي قطة على السقف.
train,main-captions,MSRvid,2012test,0017,4.2,رَاهْ الرَّاجِلْ ضَرْبْ الرَّاجِلْ الْآخَرْ بْالْعْصَا.,الرَّاجِلْ ضَرْبْ الرَّاجِلْ الْآخَرْ بْالْعْصَا.
train,main-captions,MSRvid,2012test,0018,4.6,إمراة تجمع وتحمل طفلا كانغورو.,إمراة تجمع وتحمل طفلا كانغورو في ذراعيها.
train,main-captions,MSRvid,2012test,0019,3.867,وَاحْدْ الرَّاجْلْ كَيْعَزّْفْ فْالْفَلْيَة.,وَاحْدْ الرَّاجْلْ كَيْعَزّْبْ عْلَى فْلُوطَة دْ الْبَامُوسْ.
train,main-captions,MSRvid,2012test,0020,4.667,أحدهم يطوي قطعة ورق.,أحدهم يطوي قطعة ورق.
