split,genre,dataset,year,sid,score,sentence1,sentence2
train,main-captions,MSRvid,2012test,0001,5.0,Un avión está despegando.,Un avión aéreo está despegando.
train,main-captions,MSRvid,2012test,0004,3.8,Un hombre está tocando una gran flauta.,Un hombre está tocando una flauta.
train,main-captions,MSRvid,2012test,0005,3.8,Un hombre está esparciendo queso triturado en una pizza.,Un hombre está esparciendo queso triturado en una pizza sin cocinar.
train,main-captions,MSRvid,2012test,0006,2.6,Tres hombres están jugando al ajedrez.,Dos hombres están jugando al ajedrez.
train,main-captions,MSRvid,2012test,0009,4.25,Un hombre está tocando el violonchelo.,Un hombre sentado está tocando el violonchelo.
train,main-captions,MSRvid,2012test,0011,4.25,Algunos hombres están luchando.,Dos hombres están peleando.
train,main-captions,MSRvid,2012test,0012,0.5,Un hombre está fumando.,Un hombre está patinando.
train,main-captions,MSRvid,2012test,0013,1.6,El hombre está tocando el piano.,El hombre está tocando la guitarra.
train,main-captions,MSRvid,2012test,0014,2.2,Un hombre está tocando la guitarra y cantando.,Una mujer está tocando una guitarra acústica y cantando.
train,main-captions,MSRvid,2012test,0016,5.0,Una persona está arrojando un gato al techo.,Una persona arroja un gato al techo.
train,main-captions,MSRvid,2012test,0017,4.2,El hombre golpeó al otro hombre con un palo.,El hombre golpeó al otro hombre con un palo.
train,main-captions,MSRvid,2012test,0018,4.6,Una mujer recoge y sostiene a un canguro bebé.,Una mujer toma y sostiene a un canguro en sus brazos.
train,main-captions,MSRvid,2012test,0019,3.867,Un hombre está tocando una flauta.,Un hombre está tocando una flauta de bambú.
train,main-captions,MSRvid,2012test,0020,4.667,Una persona está doblando un pedazo de papel.,Alguien está doblando un pedazo de papel.
train,main-captions,MSRvid,2012test,0021,1.667,Un hombre corre por la carretera.,Un perro panda corre por la carretera.
train,main-captions,MSRvid,2012test,0022,3.75,Un perro está tratando de quitarle el tocino de la espalda.,Un perro está tratando de comer el tocino en la espalda.
train,main-captions,MSRvid,2012test,0025,5.0,El oso polar se desliza sobre la nieve.,Un oso polar se desliza por la nieve.
train,main-captions,MSRvid,2012test,0026,0.5,Una mujer está escribiendo.,Una mujer está nadando.
train,main-captions,MSRvid,2012test,0028,3.8,Un gato está frotando la cara del bebé.,Un gato se está frotando contra un bebé.
