PairID,Text,Score
ENG-train-0000,"Idan hakan ta faru, sai ka cire toshewar.
idan hakan ta faru, sai ka cire toshewar.",1.0
ENG-train-0001,"Dogon baƙar fata yana gudana ta cikin ruwa.
Wani baƙar fata yana gudana ta cikin ruwa.",1.0
ENG-train-0002,"Na kasance ina neman ku a ko'ina cikin gidan abbey.
Ina nemanka a ko'ina cikin gidan abbey.",1.0
ENG-train-0003,"Idan yana da kyau kuma yana da halaye masu kyau, zai iya zama mutumin da ba shi da jima'i, amma zai iya zama mutumin da bai da jima'i da jima'i da jima'i da jima'i da jima'i da jima'i da jima'i da jima'i da jima'i da kuma jima'i da jima'i da jima'i da jima'i da jima'i da jima'i da jima'i da jima'i da kuma jima'i da jima'i da jima'i da jima'i da jima'i da jima'i da jima'i da kuma jima'i da jima'i da jima'i da jima'i da jima'i.
Idan yana da kyau, kuma mai kyau hali, zai iya zama straight, amma mafi m bi.",1.0
ENG-train-0004,"Ba ta ƙi ka ba, kawai tana fushi da kai.
Ba ta ƙi ku ba, kawai tana fushi.",1.0
ENG-train-0005,"Actor Gazzara ya mutu yana da shekaru 81
Actor Ben Gazzara ya mutu yana da shekaru 81",1.0
ENG-train-0006,"A'a, da gaske ban so New York ta yi nasara ba.
A'a, ban so New York ta yi nasara ba.",1.0
ENG-train-0007,"Ba ni da wata matsala da su.
LOL Ba ni da wata matsala da su.",1.0
ENG-train-0008,"Iyayenka ba sa son saurayinka, amma kai.
Ba lallai ba ne iyayenka su so BF ɗinka, ka yi.",1.0
ENG-train-0009,"Ina ganin Taylor yana da kyau sosai, amma ina ƙin muryarsa.
Ina ganin Taylor yana da kyau sosai... amma ina ƙin muryarsa.",1.0
ENG-train-0010,"Wani kare mai launin ruwan kasa mai haske yana gudu a kan hanya da farin ciki.
Wani kare mai launin toka ya gudu a kan hanya.",1.0
ENG-train-0011,"'Yar shekara huɗu a cikin jakar ku.
'Yar shekara hudu a cikin jakar ku",1.0
ENG-train-0012,"Za ka iya gano daga baya, cewa ka rasa cikakken daya.
Za ka iya gano daga baya ka rasa cikakken daya.",1.0
ENG-train-0013,"Idan ta ambata cewa tana son mu zama abokai ne kawai, to, ya yi latti.
Idan ta ce tana son mu zama abokai ne kawai, to, ya riga ya yi latti.",1.0
ENG-train-0014,"Wani mutum yana zuba shinkafa a cikin kwanon rufi.
Wani mutum ya zuba ric-a-roni a cikin kwanon rufi.",1.0
ENG-train-0015,"Guys iya zama m. Ya kamata in sani.
Mutane suna iya zama masu ban mamaki, ya kamata in sani.",1.0
ENG-train-0016,"Wani kare mai launin ruwan kasa yana tsallewa.
Wani kare mai launin ruwan kasa yana tsalle-tsalle",1.0
ENG-train-0017,"Fritz Laband dan wasan kwallon kafa ne na Jamus.
Fritz Laband tsohon dan wasan kwallon kafa ne na Jamus.",1.0
ENG-train-0018,"Kada ka yi imani da wannan mutumin na minti daya.
Kada ka yi imani da wannan mutumin na minti daya.",1.0
ENG-train-0019,"Musamman idan kana son shi kuma ka san cewa shi mai jin kunya ne.
musamman idan kana son shi da gaske kuma ka san shi mai jin kunya ne.",1.0
