PairID,Text,Score
ENG-train-0000,"Niba ibyo bibaye, ujye ubikuraho.
Niba ibyo bigezeho, ujye ubikuraho.",1.0
ENG-train-0001,"Imbwa y'umukara iriruka mu mazi.
Imbwa y'umukara iri kwiruka mu mazi.",1.0
ENG-train-0002,"Naragushakishije mu kigo cyose cy'ababikira.
Ndagushakisha hirya no hino mu kigo cy'ababikira.",1.0
ENG-train-0003,"Niba afite isura nziza kandi afite imico myiza, ashobora kuba ari umuntu w'inyangamugayo, ariko birashoboka ko ari umuntu w'igitsina gore.
Niba afite isura nziza kandi afite kamere nziza, ashobora kuba ari umuntu w'inyangamugayo, ariko birashoboka ko ari umuntu w'ibitsina bibiri.",1.0
ENG-train-0004,"Ntakwanga, ahubwo akurakarira gusa.
Ntakwanga, ahubwo ararakara gusa.",1.0
ENG-train-0005,"Umukinnyi Gazzara yapfuye afite imyaka 81
Umukinnyi Ben Gazzara yapfuye afite imyaka 81",1.0
ENG-train-0006,"Oya, mu by'ukuri sinifuzaga ko New York yatsinda.
Oya, sinifuzaga ko New York yatsinda.",1.0
ENG-train-0007,"Nta kibazo mfite na bo.
Nta kibazo na kimwe mfite na bo.",1.0
ENG-train-0008,"Ababyeyi bawe ntibagomba gushimishwa n'umukunzi wawe.
Ababyeyi bawe ntibagomba gushimishwa n'imibonano mpuzabitsina yawe.",1.0
ENG-train-0009,"Ntekereza ko Taylor ari mwiza cyane, ariko nanga ijwi rye.
Ntekereza ko Taylor ari mwiza cyane, ariko nanga ijwi rye.",1.0
ENG-train-0010,"Imbwa y'ibara ry'umuhondo iriruka mu nzira irangwa n'ibyishimo.
Imbwa y'umuhondo iriruka igana mu nzira.",1.0
ENG-train-0011,"Umwana w'imyaka ine wari mu mufuka wawe.
Umwana w'imyaka ine uri mu mufuka wawe",1.0
ENG-train-0012,"Nyuma yaho ushobora kumenya ko watakaje umuntu utunganye.
Wenda nyuma yaho uzamenya ko watakaje umuntu utunganye.",1.0
ENG-train-0013,"Niba yavuze ko yifuza kuba incuti gusa, byaba byaratinze.
Niba yavuze ko yifuza gusa kuba incuti, byaba byaratinze.",1.0
ENG-train-0014,"Umugabo arimo asuka umuceri wa roni mu gitebo.
Hari umugabo wasutse ric-a-roni mu gitovu.",1.0
ENG-train-0015,"Abagabo bashobora kuba abantu batandukanye n'abandi, nkwiriye kubimenya.
Abasore bashobora kuba abanyarugomo, nagombye kubimenya.",1.0
ENG-train-0016,"Imbwa y'ibara ry'umuhondo iri gusimbuka.
Imbwa y'ibara ry'umuhondo iri gusimbuka",1.0
ENG-train-0017,"Fritz Laband yari umukinnyi w' umupira w'amaguru w' Umudage.
Fritz Laband yahoze ari umukinnyi w' umupira w'amaguru mu Budage.",1.0
ENG-train-0018,"Ntukamwizere na gato.
Ntukamwizere na gato.",1.0
ENG-train-0019,"Cyane cyane niba umukunda kandi uzi ko ari umunyamasoni.
cyane cyane niba umukunda kandi uzi ko ari umunyamasoni.",1.0
ENG-train-0020,"Umugabo wari ku isoko ry'abahinzi.
Hari umugabo uri ku isoko ry'abahinzi.",1.0
ENG-train-0021,"Abaturage bari 517 mu gihe cy' ibarura ryo mu mwaka wa 2000.
Umubare w'abaturage ni 517 mu mwaka wa 2000.",1.0
ENG-train-0022,"Jya uhumeka mu buryo bwimbitse, ukoreshe neza ikirere.
Jya uhumeka mu buryo bwimbitse, ureke umwuka winjiremo.",1.0
ENG-train-0023,"Uramutse umbonye mbere y'uko ngaruka, ndakwinginze unyibutse gutegereza.
Niba ugomba kunsura mbere y'uko ngaruka... ndakwinginze unsabire gutegereza.",1.0
ENG-train-0024,"Kuki utarabibabwira?
Kuki utarabibabwira?",1.0
ENG-train-0025,"Iyo imvura iguye numva meze neza.
Mu by'ukuri, iyo imvura iguye numva merewe neza.",1.0
ENG-train-0026,"Abaroma bari bafite icyumba cyihariye cyitwa glirarium cyakoreshwaga mu gufungura ameza.
Abaroma bari bafite ahantu hihariye ho kubika ibitotsi byitwa glirarium.",0.97
ENG-train-0027,"Ni ibya Leo kandi sinkunda Leo.
Ni iby'uwitwa Leo....: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((: ((:))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))",0.97
ENG-train-0028,"Kubera ko Pittsburgh ari ahantu heza, kandi buri wese yifuza kuba ahari.
Kubera ko Pittsburgh ari ahantu heza cyane kandi abantu bose bifuza ko babaho!",0.97
ENG-train-0029,"Igihe nongeraga kugerageza, nageze aho ntangira gukora imibonano mpuzabitsina.
Igihe nasubiragamo, nashoboye gutembera!",0.97
ENG-train-0030,"Ese waba warigeze kureba filimi ivuga ngo ""Robin Hood: Prince of Thieves""?
Ese waba warigeze kureba filimi ya 'Robin Hood: Prince of Thieves'?",0.97
ENG-train-0031,"Nari nshaka kuvuga iby'umwana w'umuhungu wa Gilligan... isezerano!
Nashakaga kuvuga iby'umwana wa Gilligan.",0.97
ENG-train-0032,"Imbwa ebyiri zirimo gusukisha ku nkongi y'umuriro itukura.
Imbwa ebyiri zirimo gukorora ku rukuta rutukura rw'umuriro.",0.97
ENG-train-0033,"Hari ikintu gikomeye nabonye kuri iyo mpuzu nakoragaho.
Narushijeho kugira amajyambere mu bihereranye n'igishura ndimo nkoraho.",0.97
ENG-train-0034,"Umubare w'abaturage muri icyo gihugu wari 127 mu gihe cy' ibarura ryo mu mwaka wa 2000.
Umubare w'abaturage ugera kuri 127 mu mwaka wa 2000.",0.97
ENG-train-0035,"Ntukagire umukobwa ugukunda, ahubwo ujye ureka abakobwa bagukunde.
P.S.: Ntuzakundane n'umukobwa..reka abakobwa bagukundane nawe!!",0.97
ENG-train-0036,"Byari bigomba kuba igihe cyiza cyane ku bwanjye nk'umubyeyi.
Ku bwanjye nk'umubyeyi, byagombye kuba byari ibintu bitangaje.",0.97
ENG-train-0037,"George, Eliza na Harry na bo babonye umudendezo nyuma yo kwinjira muri Kanada.
Amaherezo George, Eliza na Harry bageze muri Kanada maze barabaturwa.",0.97
ENG-train-0038,"Ariko kandi, nabaye umutegetsi mwiza, si byo se?
Ariko nari umutegetsi mwiza, si byo se?",0.97
ENG-train-0039,"Twarishimye cyane i Vegas!
Twarishimye cyane i Vegas!",0.97
ENG-train-0040,"Rimwe na rimwe bakunze kucyita umutwaro.
Hari n' ababyita igikapu.",0.97
ENG-train-0041,"Yego, ndi umukobwa kandi nkunda imikino yo kuri orudinateri.
Kandi yego ndi umukobwa ukunda imikino yo kuri orudinateri.",0.97
ENG-train-0042,"Mperutse kumenya ko ntwite kandi ko ari wowe mbeshye.
Mperutse kumenya ko ntwite kandi ni icyaha cyawe!!!",0.97
ENG-train-0043,"Ibyo ni iby'ingenzi cyane kuri wowe, si byo se?
Ni iby'ingenzi cyane kuri wowe, si byo se?",0.97
ENG-train-0044,"John Schneider yarashaje cyane, naramukundaga mu kiganiro 'Duces of Hazzard!'
John Schneider ageze mu za bukuru neza cyane... naramukundaga cyane muri The Dukes of Hazzard!",0.97
ENG-train-0045,"Nanone kandi, abagabo bagera mu za bukuru nyuma y'abagore.
Nanone kandi, abagabo bakuza mu buryo bw'umwuka nyuma y'uko umugore akuze.",0.97
ENG-train-0046,"Ibyo bituma ibintu birushaho kuzamba bitewe n'uko nta muntu n'umwe ubivuga.
gusa birushaho kuba bibi iyo nta muntu ubivuze.",0.97
ENG-train-0047,"Hanyuma, mu minota makumyabiri, muzateranire ku kibuga cy'indege.
bazahurira ku kibuga cy'indege, mu minota 20.",0.97
ENG-train-0048,"Biracyari mu kirere.
biracyari ukwiruka..",0.97
ENG-train-0049,"Yego nibuka ko byari byiza cyane.
Yego ndabyibuka... byari byiza cyane",0.97
ENG-train-0050,"Niba basabye amafaranga, ujye ubireka kuko nta mukozi wagombye guhembwa kugeza igihe uzabona akazi.
(niba basabye amafaranga, uravuga uti oya.... nta mukozi uhembwa kugeza igihe uzabona akazi.",0.97
ENG-train-0051,"Kandi hari umubare munini w'utwo tugingo tugize urufatiro rw'imikorere y'amaraso.
Umuti w'amaraso ugizwe n'ingirabuzimafatizo nyinshi cyane.",0.97
ENG-train-0052,"Iyo ndirimbo izacurangwa n'abagabo ku nshuti zabo z'abakobwa.
Kandi abo bagabo bazacurangira iyo ndirimbo umukunzi wabo cyangwa ikindi kintu nk'icyo.",0.97
