split,genre,dataset,year,sid,score,sentence1,sentence2
train,main-captions,MSRvid,2012test,0001,5.0,ఒక విమానం బయలుదేరుతోంది.,ఒక వైమానిక విమానం లేచి ఉంది.
train,main-captions,MSRvid,2012test,0004,3.8,ఒక వ్యక్తి ఒక పెద్ద ఫ్లాయిట్ ఆడుతున్నాడు.,ఒక మనిషి ఒక ఫ్లూట్ ఆడుతోంది.
train,main-captions,MSRvid,2012test,0005,3.8,ఒక వ్యక్తి ఒక పిజ్జాలో ముక్కలు చేసిన చీజ్ను వ్యాప్తి చేస్తాడు.,ఒక వ్యక్తి ఒక ఉడికించని పిజ్జా మీద ముక్కలు చీజ్ వ్యాప్తి.
train,main-captions,MSRvid,2012test,0006,2.6,ముగ్గురు పురుషులు చాక్లెట్ ఆడుతున్నారు.,ఇద్దరు పురుషులు చాక్లెట్ ఆడుతున్నారు.
train,main-captions,MSRvid,2012test,0009,4.25,ఒక వ్యక్తి విల్లో ఆడుతున్నాడు.,కూర్చొని ఉన్న ఒక వ్యక్తి విల్లో ఆడుతున్నాడు.
train,main-captions,MSRvid,2012test,0011,4.25,కొందరు పురుషులు పోరాడుతున్నారు.,ఇద్దరు పురుషులు పోరాడుతున్నారు.
train,main-captions,MSRvid,2012test,0012,0.5,ఒక వ్యక్తి ధూమపానం చేస్తాడు.,ఒక వ్యక్తి స్కేటింగ్ ఉంది.
train,main-captions,MSRvid,2012test,0013,1.6,మనిషి పియానో ఆడుతున్నాడు.,మనిషి గిటార్ ఆడుతున్నాడు.
train,main-captions,MSRvid,2012test,0014,2.2,ఒక వ్యక్తి గిటార్ ప్లే మరియు పాడటం.,ఒక మహిళ అకౌస్టిక్ గిటార్ ఆడుతోంది మరియు పాడటం.
train,main-captions,MSRvid,2012test,0016,5.0,ఒక వ్యక్తి ఒక పిల్లి పైకప్పు మీద త్రో.,ఒక వ్యక్తి ఒక పిల్లిని పైకప్పు మీద విసిరివేస్తాడు.
train,main-captions,MSRvid,2012test,0017,4.2,ఆ వ్యక్తి మరొక వ్యక్తిని ఒక స్టిక్ తో కొట్టాడు.,ఆ వ్యక్తి మరొక వ్యక్తిని ఒక స్టిక్తో కొట్టాడు.
train,main-captions,MSRvid,2012test,0018,4.6,ఒక మహిళ ఒక కింగూరు శిశువును తీసుకుంటుంది మరియు పట్టుకుంటుంది.,ఒక మహిళ ఒక శిశువు కంగూరును తన చేతుల్లోకి తీసుకుంటుంది.
train,main-captions,MSRvid,2012test,0019,3.867,ఒక మనిషి ఒక ఫ్లూట్ ఆడుతోంది.,ఒక వ్యక్తి ఒక బాంబు ఫ్లూట్ ఆడుతున్నారు.
train,main-captions,MSRvid,2012test,0020,4.667,ఒక వ్యక్తి ఒక ముక్క కాగితాన్ని మడతపెడుతున్నాడు.,ఎవరైనా ఒక ముక్క కాగితం మడత.
train,main-captions,MSRvid,2012test,0021,1.667,ఒక వ్యక్తి రోడ్డు మీద నడుస్తోంది.,ఒక పాండా కుక్క రోడ్డు మీద నడుస్తోంది.
train,main-captions,MSRvid,2012test,0022,3.75,ఒక కుక్క తన వెనుక నుండి బేకన్ పొందడానికి ప్రయత్నిస్తున్నారు.,ఒక కుక్క తన వెనుక నుండి బేకన్ తినడానికి ప్రయత్నిస్తుంది.
train,main-captions,MSRvid,2012test,0025,5.0,ధ్రువ ఎలుగుబంటి మంచు మీద స్లయిడింగ్ ఉంది.,ఒక ధ్రువ ఎలుగుబంటి మంచు మీద స్లయిడింగ్ ఉంది.
train,main-captions,MSRvid,2012test,0026,0.5,ఒక మహిళ వ్రాస్తోంది.,ఒక మహిళ స్విమ్మింగ్ ఉంది.
