split,genre,dataset,year,sid,score,sentence1,sentence2
train,main-captions,MSRvid,2012test,0001,5.0,طائرة تنطلق,طائرة جوية تنطلق
train,main-captions,MSRvid,2012test,0004,3.8,رجل يعزف على صفارة كبيرة.,رجل يعزف على الفلوة.
train,main-captions,MSRvid,2012test,0005,3.8,رجل ينشر الجبن الممزق على البيتزا.,رجل يفرق الجبن الممزق على البيتزا غير المطبوخة.
train,main-captions,MSRvid,2012test,0006,2.6,ثلاثة رجال يلعبون الشطرنج,رجلان يلعبان شطرنج
train,main-captions,MSRvid,2012test,0009,4.25,رجل يعزف على الكيتلو.,رجل مقعد يعزف على الكيتلو.
train,main-captions,MSRvid,2012test,0011,4.25,بعض الرجال يقاتلون,رجلين يتشاجران
train,main-captions,MSRvid,2012test,0012,0.5,رجل يدخن,رجل يتزلج
train,main-captions,MSRvid,2012test,0013,1.6,الرجل يلعب البيانو,الرجل يعزف على الغيتار
train,main-captions,MSRvid,2012test,0014,2.2,رجل يلعب على الغيتار و يغني,امرأة تعزف على غيتار صوتي وتغني
train,main-captions,MSRvid,2012test,0016,5.0,شخص يرمي قطة على السقف.,شخص يلقي قطة على السقف.
train,main-captions,MSRvid,2012test,0017,4.2,الرجل ضرب الرجل الآخر بعصا,الرجل ضرب الرجل الآخر بعصا.
train,main-captions,MSRvid,2012test,0018,4.6,امرأة تلتقط وتحتوي على طفل كنجورو.,امرأة تجمع وتحمل طفل كانغورو في ذراعيها.
train,main-captions,MSRvid,2012test,0019,3.867,رجل يعزف على الفلوة.,رجل يعزف على فلوة البامبو.
train,main-captions,MSRvid,2012test,0020,4.667,شخص ما يطوي قطعة من الورق.,شخص ما يطوي قطعة من الورق.
train,main-captions,MSRvid,2012test,0021,1.667,رجل يركض على الطريق.,كلب باندا يركض على الطريق.
train,main-captions,MSRvid,2012test,0022,3.75,كلب يحاول إزالة الخنزير من ظهره.,الكلب يحاول أن يأكل الخنزير على ظهره.
train,main-captions,MSRvid,2012test,0025,5.0,الدب القطبي ينزلق على الثلوج.,دب قطبي ينزلق عبر الثلوج.
train,main-captions,MSRvid,2012test,0026,0.5,إمرأة تكتب.,إمرأة تسبح.
train,main-captions,MSRvid,2012test,0028,3.8,القط يفرك على وجه الطفل.,القط يفرك على الطفل.
train,main-captions,MSRvid,2012test,0029,5.0,الرجل يركب حصاناً,رجل يركب حصاناً
train,main-captions,MSRvid,2012test,0030,3.2,رجل يسكب الزيت في وعاء,رجل يسكب النبيذ في وعاء
train,main-captions,MSRvid,2012test,0031,2.8,رجل يعزف على الغيتار,فتاة تعزف على الغيتار
train,main-captions,MSRvid,2012test,0032,4.6,باندا ينزلق أسفل التزلج.,الباندا تتسلل إلى أسفل التسلسلة.
train,main-captions,MSRvid,2012test,0034,3.0,إمرأة تأكل شيئاً,امرأة تأكل اللحوم.
train,main-captions,MSRvid,2012test,0035,5.0,امرأة تحلق البطاطا.,امرأة تقطيع البطاطا.
train,main-captions,MSRvid,2012test,0038,4.8,لقد سقط الفتى من دراجته,فتى يسقط من دراجته
train,main-captions,MSRvid,2012test,0040,5.0,المرأة تعزف على الفلوة.,امرأة تعزف على الفلوة.
train,main-captions,MSRvid,2012test,0042,4.2,أرنب يهرب من النسر.,الأرنب يهرب من النسر.
train,main-captions,MSRvid,2012test,0044,4.2,المرأة تطبخ لحم الخنزير المخبوز.,امرأة تطبخ لحم الخنزير المخبوز.
train,main-captions,MSRvid,2012test,0046,4.0,فتاة تطير طائرة,فتاة تجري وتطير طائرة طائرة.
train,main-captions,MSRvid,2012test,0047,4.0,رجل يركب ثور ميكانيكي,رجل ركب ثور ميكانيكي
train,main-captions,MSRvid,2012test,0048,4.909,الرجل يعزف على الغيتار,رجل يعزف على الغيتار
train,main-captions,MSRvid,2012test,0050,3.0,امرأة ترقص وتغني مع نساء أخرى.,امرأة ترقص وتغني في المطر.
train,main-captions,MSRvid,2012test,0052,2.4,رجل يقطع فطيرة.,رجل يقطع البصل.
train,main-captions,MSRvid,2012test,0053,4.2,رجل يسكب زيتًا في وعاء.,رجل يسكب زيتًا في مؤخرة.
train,main-captions,MSRvid,2012test,0054,3.4,الأسد يلعب مع الناس.,الأسد يلعب مع رجلين.
train,main-captions,MSRvid,2012test,0055,5.0,الكلب يركب على التزلج.,كلب يركب لوح التزلج.
train,main-captions,MSRvid,2012test,0056,3.75,شخص ما يحفر تمثال.,رجل ينحت تمثال.
train,main-captions,MSRvid,2012test,0057,2.75,امرأة تقطع البصل.,رجل يقطع البصل.
train,main-captions,MSRvid,2012test,0058,5.0,امرأة تقشير الجمبرى.,إمرأة تقوم بخشاشة الجمبرى.
train,main-captions,MSRvid,2012test,0059,4.0,امرأة تطبخ السمك.,امرأة تطبخ السمك.
train,main-captions,MSRvid,2012test,0061,3.6,امرأة تعزف على غيتار كهربائي,امرأة تعزف على الغيتار.
train,main-captions,MSRvid,2012test,0062,1.6,طفل نمر يلعب مع كرة.,طفل يلعب مع دمية.
train,main-captions,MSRvid,2012test,0064,1.75,شخص يقطع طماطم,شخص يقطع بعض اللحوم.
train,main-captions,MSRvid,2012test,0065,5.0,الشخص يقطع البصل.,شخص ما يقطع البصل.
train,main-captions,MSRvid,2012test,0068,1.0,رجل يلعب البيانو,امرأة تعزف على الكمان.
train,main-captions,MSRvid,2012test,0069,1.0,امرأة تعزف على الفلوة.,رجل يعزف على الغيتار
train,main-captions,MSRvid,2012test,0070,2.375,رجل يقطع بطاطاً,رجل يقطع الجزر
train,main-captions,MSRvid,2012test,0071,3.8,طفل يلعب الغيتار,فتى يعزف على الغيتار
train,main-captions,MSRvid,2012test,0072,3.2,فتى يعزف على الغيتار,رجل يعزف على الغيتار
train,main-captions,MSRvid,2012test,0073,3.2,رجل يعزف على الغيتار,فتى يعزف على الغيتار
train,main-captions,MSRvid,2012test,0075,4.4,فتى صغير يلعب لوحة مفاتيح,فتى يلعب لوحة المفاتيح
train,main-captions,MSRvid,2012test,0077,3.75,رجل يعزف على الغيتار,رجل يعزف على غيتار كهربائي
train,main-captions,MSRvid,2012test,0078,4.75,الكلب يلعق الطفل.,الكلب يلعق طفلاً.
train,main-captions,MSRvid,2012test,0080,3.2,امرأة تقطع البصل.,رجل يقطع البصل.
train,main-captions,MSRvid,2012test,0081,1.556,رجل يعزف على الغيتار,رجل يعزف على الطبول
train,main-captions,MSRvid,2012test,0083,3.938,امرأة تقطع فلفل.,امرأة تقطع الفلفل الأحمر.
train,main-captions,MSRvid,2012test,0084,5.0,رجل يعزف على الطبول,رجل يعزف على الطبول.
train,main-captions,MSRvid,2012test,0085,5.0,امرأة تركب حصاناً.,إمرأة تركب حصاناً.
train,main-captions,MSRvid,2012test,0086,4.0,رجل يأكل الموز بالقرب من شجرة.,رجل يأكل الموز.
